Inspection notes — Hargett Fish Camp, Fuquay-Varina
Visited on June 16, 2025. Establishment holds 66 seats and has operated since 1991. Final score came to 86.7. I recorded 2 critical violations and 2 non-critical items. A reinspection was scheduled. Manager on duty was cooperative throughout.

Inspection notes — Cabarrus Provisions, Knightdale
Visited on January 8, 2025. Establishment holds 90 seats and has operated since 2006. Final score came to 94.0. I recorded 0 critical violations and 2 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Jones Counter, Knightdale
Visited on June 4, 2023. Establishment holds 87 seats and has operated since 2003. Final score came to 95.2. I recorded 0 critical violations and 0 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Peace Smokehouse, Holly Springs
Visited on June 29, 2023. Establishment holds 71 seats and has operated since 2010. Final score came to 100.0. I recorded 0 critical violations and 1 non-critical item. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Cameron Deli, Durham
Visited on August 5, 2024. Establishment holds 109 seats and has operated since 1982. Final score came to 94.5. I recorded 0 critical violations and 1 non-critical item. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Umstead Public House, Morrisville
Visited on April 29, 2023. Establishment holds 141 seats and has operated since 1990. Final score came to 94.0. I recorded 0 critical violations and 3 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Blount Supper Club, Fuquay-Varina
Visited on June 25, 2025. Establishment holds 63 seats and has operated since 1976. Final score came to 83.0. I recorded 1 critical violation and 7 non-critical items. A reinspection was scheduled. Manager on duty was cooperative throughout.

Inspection notes — Falls Bakery, Cary
Visited on March 2, 2024. Establishment holds 70 seats and has operated since 1993. Final score came to 97.3. I recorded 1 critical violation and 1 non-critical item. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Edenton Trattoria, Cary
Visited on March 14, 2024. Establishment holds 20 seats and has operated since 1994. Final score came to 100.0. I recorded 0 critical violations and 0 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Crabtree Cafe, Fuquay-Varina
Visited on August 20, 2024. Establishment holds 24 seats and has operated since 1997. Final score came to 87.9. I recorded 1 critical violation and 2 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Tucker Chophouse, Garner
Visited on October 12, 2024. Establishment holds 81 seats and has operated since 2011. Final score came to 93.4. I recorded 0 critical violations and 0 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Person Bistro, Holly Springs
Visited on October 6, 2024. Establishment holds 48 seats and has operated since 1972. Final score came to 92.6. I recorded 2 critical violations and 1 non-critical item. A reinspection was scheduled. Manager on duty was cooperative throughout.

Inspection notes — Martin Chophouse, Morrisville
Visited on May 28, 2024. Establishment holds 52 seats and has operated since 1980. Final score came to 90.6. I recorded 0 critical violations and 8 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Boylan Table, Cary
Visited on May 13, 2025. Establishment holds 67 seats and has operated since 2008. Final score came to 91.4. I recorded 3 critical violations and 3 non-critical items. A reinspection was scheduled. Manager on duty was cooperative throughout.

Inspection notes — Harrington Provisions, Raleigh
Visited on May 8, 2025. Establishment holds 19 seats and has operated since 2022. Final score came to 94.7. I recorded 1 critical violation and 1 non-critical item. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Edenton Smokehouse, Knightdale
Visited on May 29, 2025. Establishment holds 25 seats and has operated since 1996. Final score came to 92.2. I recorded 1 critical violation and 4 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Pullen Tavern, Holly Springs
Visited on September 3, 2025. Establishment holds 187 seats and has operated since 1993. Final score came to 90.5. I recorded 1 critical violation and 2 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Hargett Room, Durham
Visited on February 25, 2023. Establishment holds 51 seats and has operated since 1989. Final score came to 95.9. I recorded 0 critical violations and 1 non-critical item. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Blount Canteen, Apex
Visited on May 19, 2024. Establishment holds 90 seats and has operated since 1987. Final score came to 90.2. I recorded 3 critical violations and 0 non-critical items. A reinspection was scheduled. Manager on duty was cooperative throughout.

Inspection notes — Jones Canteen, Cary
Visited on January 12, 2024. Establishment holds 51 seats and has operated since 1977. Final score came to 98.5. I recorded 0 critical violations and 2 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Morgan Taqueria, Durham
Visited on May 17, 2024. Establishment holds 96 seats and has operated since 2016. Final score came to 92.9. I recorded 0 critical violations and 3 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Oak House, Apex
Visited on June 4, 2023. Establishment holds 51 seats and has operated since 1993. Final score came to 95.2. I recorded 0 critical violations and 3 non-critical items. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Lenoir Canteen, Raleigh
Visited on January 24, 2023. Establishment holds 214 seats and has operated since 1996. Final score came to 97.4. I recorded 0 critical violations and 1 non-critical item. A reinspection was not required. Manager on duty was cooperative throughout.

Inspection notes — Blount Chophouse, Holly Springs
Visited on July 7, 2025. Establishment holds 33 seats and has operated since 2021. Final score came to 86.1. I recorded 4 critical violations and 1 non-critical item. A reinspection was scheduled. Manager on duty was cooperative throughout.
